Number,Title,Complexity,Likes,Dislikes,Math,String,Simulation,Linked List,Recursion,Stack,Tree,Depth-First Search,Breadth-First Search,Binary Tree,Dynamic Programming,Combinatorics,Graph,Topological Sort,Design,Trie,Array,Binary Search,Two Pointers,Sorting,Heap (Priority Queue),Interactive,Memoization,Greedy,Matrix,Hash Table,Prefix Sum,Bit Manipulation,Backtracking,Binary Search Tree,Iterator,Shortest Path,Divide and Conquer,Queue,Data Stream,Union Find,Geometry,Quickselect,Merge Sort,Sliding Window,Monotonic Queue,Counting,Bucket Sort
48,Rotate Image,Medium,9582,501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,Smallest String With Swaps,Medium,2818,90,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1825,Find Minimum Time to Finish All Jobs,Hard,536,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1414,Shortest Path in a Grid with Obstacles Elimination,Hard,2343,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,Trim a Binary Search Tree,Medium,4812,238,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Minimum Number of Arrows to Burst Balloons,Medium,3491,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Merge Intervals,Medium,14066,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Can Place Flowers,Easy,2952,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Burst Balloons,Hard,6083,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,Cherry Pickup,Hard,2695,126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,Maximum Profit in Job Scheduling,Hard,3267,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Minimum Number of Arrows to Burst Balloons,Medium,3491,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
